week_ending,zip_code_column,case_rate,zip_code,zip,lat,lng,city,state_id,state_name,population,density,county_name,po_box,dist_highway,dist2_large_airport,dist2_medium_airport,dist_to_shore,number_of_business,adjusted_gross_income,total_income_amount,number_of_returns,age_all_ages,age_0_4,age_5_12,age_13_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75up,all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White,lagged_case_rate
2020-03-28,CASERATE_10001,148.48,10001,10001,40.75,-74.0,New York,NY,New York,26966,16690.1,New York,0,0.263454617191128,11.1479894176789,12.2509024151323,17.0123167774835,7263.0,2799134,2830868.0,15590,338.59,23.29,19.13,47.36,170.86,325.07,432.49,482.55,525.36,491.8,546.64,299.21,135.31,334.45,351.18,244.26,217.29
2020-04-04,CASERATE_10001,206.42,10001,10001,40.75,-74.0,New York,NY,New York,26966,16690.1,New York,0,0.263454617191128,11.1479894176789,12.2509024151323,17.0123167774835,7263.0,2799134,2830868.0,15590,421.98,26.54,25.42,60.07,192.43,362.0,489.84,610.36,669.22,667.78,807.5,370.91,187.85,433.65,450.73,263.14,148.48
2020-04-11,CASERATE_10001,162.97,10001,10001,40.75,-74.0,New York,NY,New York,26966,16690.1,New York,0,0.263454617191128,11.1479894176789,12.2509024151323,17.0123167774835,7263.0,2799134,2830868.0,15590,416.14,27.69,32.1,68.62,202.79,328.57,439.88,580.88,682.93,654.57,927.16,360.11,208.44,426.38,436.34,237.06,206.42
2020-04-18,CASERATE_10001,83.29,10001,10001,40.75,-74.0,New York,NY,New York,26966,16690.1,New York,0,0.263454617191128,11.1479894176789,12.2509024151323,17.0123167774835,7263.0,2799134,2830868.0,15590,282.91,21.19,24.08,65.38,154.11,211.77,278.91,398.99,458.89,436.56,674.67,232.21,132.94,273.1,299.7,140.31,162.97
2020-04-25,CASERATE_10001,79.67,10001,10001,40.75,-74.0,New York,NY,New York,26966,16690.1,New York,0,0.263454617191128,11.1479894176789,12.2509024151323,17.0123167774835,7263.0,2799134,2830868.0,15590,233.12,17.38,33.71,82.71,154.68,176.25,247.78,338.98,370.9,335.42,464.91,179.79,97.34,201.06,246.41,111.6,83.29
2020-05-02,CASERATE_10001,39.84,10001,10001,40.75,-74.0,New York,NY,New York,26966,16690.1,New York,0,0.263454617191128,11.1479894176789,12.2509024151323,17.0123167774835,7263.0,2799134,2830868.0,15590,156.16,16.04,25.55,64.69,121.76,126.91,170.11,215.45,239.26,210.77,297.18,116.68,61.13,126.9,164.94,73.1,79.67
2020-05-09,CASERATE_10001,47.08,10001,10001,40.75,-74.0,New York,NY,New York,26966,16690.1,New York,0,0.263454617191128,11.1479894176789,12.2509024151323,17.0123167774835,7263.0,2799134,2830868.0,15590,96.22,11.65,17.12,46.67,77.91,78.52,94.2,121.78,140.45,141.35,209.22,72.62,35.89,74.68,101.89,48.56,39.84
2020-05-16,CASERATE_10001,57.94,10001,10001,40.75,-74.0,New York,NY,New York,26966,16690.1,New York,0,0.263454617191128,11.1479894176789,12.2509024151323,17.0123167774835,7263.0,2799134,2830868.0,15590,76.56,8.59,14.98,44.82,64.43,61.13,78.11,100.19,104.71,110.18,162.92,61.11,26.77,61.07,87.35,45.32,47.08
2020-05-23,CASERATE_10001,28.97,10001,10001,40.75,-74.0,New York,NY,New York,26966,16690.1,New York,0,0.263454617191128,11.1479894176789,12.2509024151323,17.0123167774835,7263.0,2799134,2830868.0,15590,57.9,9.55,10.84,33.04,56.34,52.17,63.68,75.19,79.08,74.99,99.0,50.67,23.75,62.55,69.19,31.56,57.94
2020-05-30,CASERATE_10001,18.11,10001,10001,40.75,-74.0,New York,NY,New York,26966,16690.1,New York,0,0.263454617191128,11.1479894176789,12.2509024151323,17.0123167774835,7263.0,2799134,2830868.0,15590,44.24,4.58,5.75,21.25,39.45,37.14,50.75,57.1,66.97,57.18,81.2,39.43,18.01,53.52,51.18,22.5,28.97
